Address,Business name,City,Country,Direct searches,Directions actions,Discovery searches,Maps views,Phone call actions,Search views,State,Total actions,Total searches,Total views,Website actions,Week,Net sales,Start date,End date
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,674,333,5571,9586,74,7026,CO,621,6245,16612,214,1,65174.24,9-4,9-10
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,677,423,5988,9757,102,7093,CO,702,6665,16850,177,2,63243.05,9-11,9-17
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,639,304,5308,9346,64,6637,CO,562,5947,15983,194,3,61448.94,9-18,9-24
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,694,259,5484,9299,78,6910,CO,543,6178,16209,206,4,57884.06,9-25,10-1
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,694,377,5590,10070,78,6661,CO,643,6284,16731,188,5,67352.11,10-2,10-8
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,634,272,5290,9941,66,6895,CO,501,5924,16836,163,6,63419.34,10-9,10-15
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,512,230,4756,6773,85,5633,CO,462,5268,12406,147,7,64789.54,10-16,10-22
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,714,229,4896,9029,70,6618,CO,489,5610,15647,190,8,61786.89,10-23,10-29
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,606,311,5478,10099,68,6614,CO,555,6084,16713,176,9,61701.68,10-30,11-5
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,755,242,5083,9477,70,6442,CO,559,5838,15919,247,10,54512.16,11-6,11-12
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,648,250,4170,8417,94,5744,CO,537,4818,14161,193,11,54446.81,11-13,11-19
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,847,324,5237,8135,109,6643,CO,685,6084,14778,252,12,57330.43,11-20,11-26
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,701,288,5042,9585,48,6446,CO,513,5743,16031,177,13,54684.01,11-27,12-3
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,645,331,6029,9562,95,7385,CO,602,6674,16947,176,14,53009.09,12-4,12-10
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,681,287,5793,9215,88,7362,CO,574,6474,16577,199,15,55500.28,12-11,12-17
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,634,364,5912,9574,80,7005,CO,647,6546,16579,203,16,43399.71,12-18,12-24
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,564,327,5659,10569,76,6567,CO,573,6223,17136,170,17,63441.56,12-25,12-31
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,764,291,4933,9120,77,6470,CO,631,5697,15590,263,18,57123.56,1-1,1-7
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,488,256,4534,9316,58,6303,CO,497,5022,15619,183,19,54228.71,1-8,1-14
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,620,358,4829,9149,71,7227,CO,645,5449,16376,216,20,50329.33,1-15,1-21
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,626,318,5277,6947,49,6818,CO,552,5903,13765,185,21,54062.49,1-22,1-28
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,621,303,5241,9895,46,6825,CO,547,5862,16720,198,22,53465.24,1-29,2-4
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,698,312,6456,11157,97,8011,CO,662,7154,19168,253,23,51901.89,2-5,2-11
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,677,352,5873,10866,63,7172,CO,751,6550,18038,336,24,59664.81,2-12,2-18
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,802,336,6664,11616,95,8200,CO,813,7466,19816,382,25,55234.57,2-19,2-25
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,620,345,5457,9389,46,7030,CO,571,6077,16419,180,26,57633.89,2-26,3-4
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,762,475,6983,11821,112,8481,CO,963,7745,20302,376,27,63543.42,3-5,3-11
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,833,382,6868,12849,56,8068,CO,817,7701,20917,379,28,72219.86,3-12,3-18
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,743,360,6502,11752,88,7747,CO,778,7245,19499,330,29,63672.78,3-19,3-25
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,841,305,6674,11916,68,8432,CO,712,7515,20348,339,30,53046.21,3-26,4-1
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,1033,381,7111,13754,103,8750,CO,910,8144,22504,426,31,61925.18,4-2,4-8
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,8399,1030,7369,22166,8239,13927,CO,931,411,441,79,66324.04,4-9,4-15
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,869,345,6791,13102,68,7927,CO,769,7660,21029,356,33,73617.76,4-16,4-22
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,742,381,6679,13325,84,7712,CO,806,7421,21037,341,34,68220.23,4-23,4-29
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,1030,441,7369,13927,79,8239,CO,931,8399,22166,411,35,63256.12,4-30,5-6
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,838,367,7463,14569,88,8642,CO,831,8301,23211,376,36,65598.17,5-7,5-13
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,761,399,6726,13447,70,7275,CO,817,7487,20722,348,37,65309.87,5-14,5-20
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,725,394,6520,12934,81,7572,CO,851,7245,20506,376,38,67554.47,5-21,5-27
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,843,373,7354,14506,108,7962,CO,844,8197,22468,363,39,67981.38,5-28,6-3
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,696,429,5468,11945,72,7171,CO,833,6164,19116,332,40,66190.29,6-4,6-10
5601 Olde Wadsworth Blvd.,Homegrown Tap & Dough,Arvada,US,776,413,6856,14131,95,8068,CO,902,7632,22199,394,42,67281.31,6-11,6-17